	Domain	Supergroup	Division	Subdivision	Class	Order	Family	Genus	Species
ASV_9737	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Prorocentrales	Prorocentraceae	Prorocentrum	Prorocentrum_sp.
ASV_9738	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Lepidodinium	NA
ASV_9739	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Breviolum	Breviolum_sp.
ASV_9740	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Breviolum	Breviolum_sp.
ASV_9741	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Breviolum	Breviolum_sp.
ASV_9742	Eukaryota	Haptista	Haptophyta	Haptophyta_X	Prymnesiophyceae	Prymnesiales	Prymnesiaceae	Haptolina	Haptolina_sp.
ASV_9743	Eukaryota	TSAR	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II-Clade-36	Dino-Group-II-Clade-36_X	Dino-Group-II-Clade-36_X_sp.
ASV_9744	Eukaryota	TSAR	Rhizaria	Radiolaria	Acantharea	Acantharea_C	NA	NA	NA
ASV_9745	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	Gyrodinium_heterogrammum
ASV_9746	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Breviolum	Breviolum_sp.
ASV_9747	Eukaryota	Haptista	Haptophyta	Haptophyta_X	Prymnesiophyceae	Prymnesiales	NA	NA	NA
ASV_9748	Eukaryota	TSAR	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Corallicolidae	Corallicolidae_COR1	Corallicolidae_COR1_sp.
ASV_9749	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Breviolum	Breviolum_sp.
ASV_9750	Eukaryota	TSAR	Alveolata	Ciliophora	Spirotrichea	Choreotrichida	Strobilidiidae	Pelagostrobilidium	NA
ASV_9751	Eukaryota	TSAR	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II-Clade-14	Dino-Group-II-Clade-14_X	Dino-Group-II-Clade-14_X_sp.
ASV_9752	Eukaryota	TSAR	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II-Clade-1	Dino-Group-II-Clade-1_X	Dino-Group-II-Clade-1_X_sp.
ASV_9753	Eukaryota	Archaeplastida	Rhodophyta	Rhodophyta_X	Florideophyceae	Gigartinales	Gigartinales_X	NA	NA
ASV_9754	Eukaryota	TSAR	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II-Clade-10-and-11	Dino-Group-II-Clade-10-and-11_X	Dino-Group-II-Clade-10-and-11_X_sp.
ASV_9755	Eukaryota	TSAR	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II-Clade-16	Dino-Group-II-Clade-16_X	Dino-Group-II-Clade-16_X_sp.
ASV_9756	Eukaryota	TSAR	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-I	Dino-Group-I-Clade-1	Dino-Group-I-Clade-1_X	Dino-Group-I-Clade-1_X_sp.
ASV_9757	Eukaryota	TSAR	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-I	Dino-Group-I-Clade-5	Dino-Group-I-Clade-5_X	Dino-Group-I-Clade-5_X_sp.
ASV_9758	Eukaryota	Haptista	Haptophyta	Haptophyta_X	Prymnesiophyceae	Prymnesiales	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp.
ASV_9759	Eukaryota	TSAR	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-III	Dino-Group-III_X	Dino-Group-III_XX	Dino-Group-III_XX_sp.
ASV_9760	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	NA	NA	NA	NA
ASV_9761	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Dinophyceae_X	Dinophyceae_XX	Dinophyceae_XXX	Dinophyceae_XXX_sp.
ASV_9762	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Breviolum	Breviolum_minutum
ASV_9763	Eukaryota	Haptista	Haptophyta	Haptophyta_X	Prymnesiophyceae	Prymnesiales	Chrysochromulinaceae	Chrysochromulina	NA
ASV_9764	Eukaryota	TSAR	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II-Clade-10-and-11	Dino-Group-II-Clade-10-and-11_X	Dino-Group-II-Clade-10-and-11_X_sp.
ASV_9765	Eukaryota	TSAR	Stramenopiles	Gyrista	Gyrista_X	Gyrista_XX	MAST-1	MAST-1C	MAST-1C_sp.
ASV_9766	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	NA	NA	NA	NA
ASV_9767	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Breviolum	Breviolum_sp.
