	Domain	Supergroup	Division	Subdivision	Class	Order	Family	Genus	Species
ASV_4817	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Alphaproteobacteria	Rhizobiales	NA	NA	NA
ASV_4818	Bacteria	PVC	Verrucomicrobia	Verrucomicrobia_X	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Verrucomicrobiaceae_X	Verrucomicrobiaceae_X_sp.
ASV_4819	Bacteria	CMS	Cyanobacteria	Cyanobacteria_X	Cyanophyceae	Obscuribacterales	Obscuribacterales_X	Obscuribacterales_XX	Obscuribacterales_XX_sp.
ASV_4820	Eukaryota:plas	TSAR:plas	Stramenopiles:plas	Gyrista:plas	Bacillariophyceae:plas	NA	NA	NA	NA
ASV_4821	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Alphaproteobacteria	SAR11_clade	Clade_I	Clade_Ia	Clade_Ia_sp.
ASV_4822	Eukaryota:plas	TSAR:plas	Stramenopiles:plas	Gyrista:plas	Chrysophyceae:plas	Chrysophyceae_X:plas	Chrysophyceae_XX:plas	Chrysophyceae_XXX:plas	Chrysophyceae_XXX_sp.:plas
ASV_4823	Bacteria	NA	NA	NA	NA	NA	NA	NA	NA
ASV_4824	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	OM27_clade	OM27_clade_sp.
ASV_4825	Eukaryota:plas	Haptista:plas	Haptophyta:plas	Haptophyta_X:plas	Prymnesiophyceae:plas	Coccolithales:plas	Hymenomonadaceae:plas	Hymenomonadaceae_X:plas	Hymenomonadaceae_X_sp.:plas
ASV_4826	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Deltaproteobacteria	PB19	PB19_X	PB19_XX	PB19_XX_sp.
ASV_4827	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Alphaproteobacteria	NA	NA	NA	NA
ASV_4828	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Gammaproteobacteria	Cellvibrionales	Spongiibacteraceae	BD17_clade	BD17_clade_sp.
ASV_4829	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Alphaproteobacteria	Parvibaculales	PS1_clade	PS1_clade_X	PS1_clade_X_sp.
ASV_4830	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Alphaproteobacteria	NA	NA	NA	NA
ASV_4831	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Alphaproteobacteria	NA	NA	NA	NA
ASV_4832	Eukaryota:plas	TSAR:plas	Alveolata:plas	Dinoflagellata:plas	Dinophyceae:plas	Peridiniales:plas	Heterocapsaceae:plas	Heterocapsa:plas	Heterocapsa_triquetra:plas
ASV_4833	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	NA	NA
ASV_4834	Bacteria	CMS	Cyanobacteria	Cyanobacteria_X	Cyanophyceae	NA	NA	NA	NA
ASV_4835	Bacteria	PANNAM	NA	NA	NA	NA	NA	NA	NA
ASV_4836	Bacteria	PANNAM	Acidobacteria	Acidobacteria_X	Acidobacteriia	Acidobacteriales	NA	NA	NA
ASV_4837	Bacteria	PANNAM	Acidobacteria	Acidobacteria_X	Acidobacteriia	Acidobacteriales	Koribacteraceae	Candidatus_Koribacter	Candidatus_Koribacter_sp.
ASV_4838	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Gammaproteobacteria	CCD24	CCD24_X	CCD24_XX	CCD24_XX_sp.
ASV_4839	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Deltaproteobacteria	MBNT15	MBNT15_X	MBNT15_XX	MBNT15_XX_sp.
ASV_4840	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Massilia	Massilia_sp.
ASV_4841	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Sva0081_sediment_group	Sva0081_sediment_group_sp.
ASV_4842	Eukaryota:plas	Archaeplastida:plas	Streptophyta:plas	Streptophyta_X:plas	Embryophyceae:plas	Embryophyceae_X:plas	Embryophyceae_XX:plas	Artemisia:plas	Artemisia_annua:plas
ASV_4843	Eukaryota:plas	TSAR:plas	Stramenopiles:plas	Gyrista:plas	Pelagophyceae:plas	Pelagomonadales:plas	Pelagomonadaceae:plas	Pelagomonas:plas	Pelagomonas_calceolata:plas
ASV_4844	Bacteria	FCB	Bacteroidetes	Bacteroidetes_X	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae_X	Muribaculaceae_X_sp.
ASV_4845	Bacteria	Terrabacteria	Firmicutes	Firmicutes_X	Clostridia	Clostridiales	Ruminococcaceae	CAG352	CAG352_sp.
ASV_4846	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	Hyphomicrobium_sp.
ASV_4847	Bacteria	Terrabacteria	NA	NA	NA	NA	NA	NA	NA
ASV_4848	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter	Enterobacter_sp.
ASV_4849	Bacteria	PANNAM	Epsilonbacteraeota	Epsilonbacteraeota_X	Campylobacteria	Campylobacterales	Arcobacteraceae	Arcobacter	Arcobacter_sp.
ASV_4850	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Hyphomonas	Hyphomonas_sp.
ASV_4851	Bacteria	Terrabacteria	Firmicutes	Firmicutes_X	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	Lachnoclostridium_sp.
ASV_4852	Bacteria	Terrabacteria	Actinobacteria	Actinobacteria_X	Actinobacteria_XX	Frankiales	Acidothermaceae	Acidothermus	Acidothermus_sp.
ASV_4853	Bacteria	Terrabacteria	Firmicutes	Firmicutes_X	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae_R7_group	Christensenellaceae_R7_group_sp.
ASV_4854	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas_sp.
ASV_4855	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Gammaproteobacteria	Vibrionales	Vibrionaceae	Aliivibrio	Aliivibrio_sp.
ASV_4856	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas_sp.
ASV_4857	Bacteria	Terrabacteria	Firmicutes	Firmicutes_X	Clostridia	Clostridiales	Lachnospiraceae	NA	NA
ASV_4858	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Sva0081_sediment_group	Sva0081_sediment_group_sp.
ASV_4859	Eukaryota	NA	NA	NA	NA	NA	NA	NA	NA
ASV_4860	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Deltaproteobacteria	Bradymonadales	Bradymonadales_X	Bradymonadales_XX	Bradymonadales_XX_sp.
ASV_4861	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Enhydrobacter	Enhydrobacter_sp.
ASV_4862	Bacteria	PVC	Verrucomicrobia	Verrucomicrobia_X	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Pedosphaeraceae_X	Pedosphaeraceae_X_sp.
ASV_4863	Bacteria	Terrabacteria	Actinobacteria	Actinobacteria_X	Acidimicrobiia	Microtrichales	Microtrichaceae	Sva0996_marine_group	Sva0996_marine_group_sp.
ASV_4864	Bacteria	Terrabacteria	Actinobacteria	Actinobacteria_X	Actinobacteria_XX	Micrococcales	Microbacteriaceae	NA	NA
